match_id,match_number,group,date,kickoff,venue,home_team,away_team,home_score,away_score,tournament,source_url,pdf_file,home_xg,away_xg,home_pass_completion_pct,away_pass_completion_pct,home_completed_line_breaks,away_completed_line_breaks,home_defensive_line_breaks,away_defensive_line_breaks,home_final_third_receptions,away_final_third_receptions,home_crosses,away_crosses,home_ball_progressions,away_ball_progressions,home_forced_turnovers,away_forced_turnovers,home_second_balls,away_second_balls,home_distance_km,away_distance_km,home_zone4_sprint_km,away_zone4_sprint_km,home_attempts,away_attempts,home_attempts_on_target,away_attempts_on_target,home_total_passes,away_total_passes,home_completed_passes,away_completed_passes,home_defensive_pressures,away_defensive_pressures,home_direct_pressures,away_direct_pressures,home_possession_pct,away_possession_pct,possession_contest_pct
2026_M001,1,Group A,2026-06-11,13:00,Mexico City Stadium,Mexico,South Africa,2,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01 MEX V RSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M001_PMSR-M01_MEX_V_RSA.pdf,1.78,0.1,90,83,105,57,10,3,117,36,13,8,23,8,31,32,56,45,107.3,97.1,5.3,5.1,16,3,4,2,547,351,495,290,170,306,26,45,57.1,36.1,6.8
2026_M002,2,Group A,2026-06-11,20:00,Guadalajara Stadium,Korea Republic,Czechia,2,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02 KOR V CZE .pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M002_PMSR-M02_KOR_V_CZE_.pdf,1.77,0.64,89,74,92,54,10,5,125,77,17,15,27,10,30,40,49,78,111.8,117.6,5.4,6.0,15,7,6,4,542,327,483,241,147,301,22,54,55.8,34.2,10.1
2026_M003,3,Group B,2026-06-12,15:00,Toronto Stadium,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M003_PMSR-M03-CAN-V-BIH-V2.pdf,1.49,0.76,77,67,84,61,16,4,143,51,30,8,30,22,50,51,94,79,111.3,109.5,5.8,5.2,13,8,4,3,412,279,316,186,160,203,38,35,52.8,29.9,17.3
2026_M004,4,Group D,2026-06-12,18:00,Los Angeles Stadium,USA,Paraguay,4,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M004_PMSR-M04-USA-V-PAR.pdf,1.88,0.6,86,74,129,53,25,3,201,31,23,5,52,17,50,49,101,55,119.9,114.3,6.2,6.1,16,9,6,1,602,316,520,234,204,360,39,75,59.5,28.7,11.8
2026_M005,5,Group C,2026-06-13,21:00,Boston Stadium,Haiti,Scotland,0,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M005_PMSR-M05-HAI-V-SCO.pdf,0.7,0.91,88,82,84,86,4,6,116,77,26,16,24,21,29,35,53,52,113.7,117.6,5.9,5.9,15,9,2,2,431,397,378,324,185,230,35,39,51.6,40.5,7.9
2026_M006,6,Group D,2026-06-13,21:00,BC Place Vancouver,Australia,Türkiye,2,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M006_PMSR-M06-AUS-V-TUR.pdf,0.99,1.66,76,92,56,132,10,15,68,348,14,28,22,38,35,30,62,87,116.6,112.5,5.6,5.1,9,30,4,7,293,722,224,663,384,170,57,31,27.0,62.9,10.1
2026_M007,7,Group C,2026-06-13,18:00,New York/New Jersey Stadium,Brazil,Morocco,1,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR POST-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M007_PMSR-M07-BRA-V-MAR_POST-V2.pdf,0.99,1.33,89,86,89,81,11,5,100,149,19,14,30,49,41,50,56,79,113.7,114.9,6.8,6.5,12,14,5,3,514,503,457,431,315,285,54,41,46.7,45.2,8.1
2026_M008,8,Group B,2026-06-13,12:00,San Francisco Bay Area Stadium,Qatar,Switzerland,1,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M08-QAT-V-SUI.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M008_PMSR-M08-QAT-V-SUI.pdf,0.52,3.14,74,92,58,122,2,17,41,245,8,34,13,31,36,42,53,70,109.2,109.4,4.8,5.6,6,26,3,7,289,591,213,542,294,165,42,33,28.8,58.7,12.5
2026_M009,9,Group E,2026-06-14,19:00,Philadelphia Stadium,Côte d'Ivoire,Ecuador,1,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M09-CIV-V-ECU.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M009_PMSR-M09-CIV-V-ECU.pdf,1.88,1.36,88,85,113,106,11,8,120,97,15,14,39,16,44,49,63,60,109.6,108.4,5.8,5.7,15,12,4,1,471,513,413,438,288,280,31,61,41.9,49.9,8.2
2026_M010,10,Group E,2026-06-14,12:00,Houston Stadium,Germany,Curaçao,7,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M10-GER-V-CUW-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M010_PMSR-M10-GER-V-CUW-V2.pdf,4.17,0.4,89,80,125,72,18,6,252,61,20,5,32,34,46,43,82,58,116.2,103.5,6.3,5.0,26,8,12,2,641,362,569,291,227,339,55,48,57.8,35.3,6.9
2026_M011,11,Group F,2026-06-14,15:00,Dallas Stadium,Netherlands,Japan,2,2,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M11-NED-V-JPN.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M011_PMSR-M11-NED-V-JPN.pdf,0.63,0.34,89,85,88,72,13,13,156,120,23,24,23,21,33,28,49,50,102.9,109.4,4.6,5.1,10,9,6,2,529,356,473,302,194,316,30,46,54.9,37.4,7.7
2026_M012,12,Group F,2026-06-14,20:00,Monterrey Stadium,Sweden,Tunisia,5,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M12-SWE-V-TUN.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M012_PMSR-M12-SWE-V-TUN.pdf,2.09,0.34,81,81,71,76,13,5,103,84,12,13,26,19,42,41,69,67,111.3,109.7,5.1,5.9,13,6,7,2,356,370,290,299,172,223,44,45,47.4,42.7,9.9
2026_M013,13,Group H,2026-06-15,18:00,Miami Stadium,Saudi Arabia,Uruguay,1,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M13-KSA-V-URU.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M013_PMSR-M13-KSA-V-URU.pdf,1.06,1.5,73,91,54,128,3,16,60,222,6,42,13,32,44,39,58,67,109.5,110.9,4.7,5.2,7,27,3,10,331,623,243,566,318,157,40,23,27.1,63.3,9.6
2026_M014,14,Group H,2026-06-15,12:00,Atlanta Stadium,Spain,Cabo Verde,0,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M14-ESP-V-CPV.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M014_PMSR-M14-ESP-V-CPV.pdf,2.26,0.13,93,74,144,57,28,1,426,17,39,3,23,23,53,47,83,54,115.5,112.4,5.0,4.2,27,6,7,1,811,306,755,227,200,398,37,44,65.7,25.4,8.9
2026_M015,15,Group G,2026-06-15,18:00,Los Angeles Stadium,IR Iran,New Zealand,2,2,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M15-IRN-V-NZL.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M015_PMSR-M15-IRN-V-NZL.pdf,1.85,1.47,80,84,75,89,15,3,98,104,18,11,31,22,46,47,83,67,113.0,112.9,6.1,6.6,17,14,4,8,417,448,333,378,253,234,54,42,43.3,45.3,11.4
