source,match_id,date,competition,season,team,opponent,is_home,statsbomb_shots,statsbomb_xg,statsbomb_goals,statsbomb_on_target,statsbomb_xg_against,statsbomb_shots_against
StatsBomb Open Data,3943077,2024-07-15,Copa America,2024,Argentina,Colombia,True,11,1.0827015698,1,5,0.9722537355999998,19
StatsBomb Open Data,3943077,2024-07-15,Copa America,2024,Colombia,Argentina,False,19,0.9722537355999998,0,4,1.0827015698,11
StatsBomb Open Data,3943076,2024-07-14,Copa America,2024,Canada,Uruguay,True,19,6.205309528000001,5,9,4.650426863,16
StatsBomb Open Data,3943076,2024-07-14,Copa America,2024,Uruguay,Canada,False,16,4.650426863,6,9,6.205309528000001,19
StatsBomb Open Data,3943043,2024-07-14,UEFA Euro,2024,Spain,England,True,16,1.791713124,2,6,0.7263776969999999,9
StatsBomb Open Data,3943043,2024-07-14,UEFA Euro,2024,England,Spain,False,9,0.7263776969999999,1,3,1.791713124,16
StatsBomb Open Data,3942852,2024-07-11,Copa America,2024,Uruguay,Colombia,True,11,0.754563564,0,2,1.171960657,11
StatsBomb Open Data,3942852,2024-07-11,Copa America,2024,Colombia,Uruguay,False,11,1.171960657,1,4,0.754563564,11
StatsBomb Open Data,3942785,2024-07-10,Copa America,2024,Argentina,Canada,True,11,1.7541940644,2,3,0.7175667499999999,9
StatsBomb Open Data,3942785,2024-07-10,Copa America,2024,Canada,Argentina,False,9,0.7175667499999999,0,2,1.7541940644,11
StatsBomb Open Data,3942819,2024-07-10,UEFA Euro,2024,Netherlands,England,True,7,0.412172209,1,3,1.236570741,9
StatsBomb Open Data,3942819,2024-07-10,UEFA Euro,2024,England,Netherlands,False,9,1.236570741,2,5,0.412172209,7
StatsBomb Open Data,3942752,2024-07-09,UEFA Euro,2024,Spain,France,True,6,0.421515934,2,2,0.850764694,9
StatsBomb Open Data,3942752,2024-07-09,UEFA Euro,2024,France,Spain,False,9,0.850764694,1,3,0.421515934,6
StatsBomb Open Data,3942415,2024-07-07,Copa America,2024,Uruguay,Brazil,True,17,4.547336302,4,6,3.809874753,11
StatsBomb Open Data,3942415,2024-07-07,Copa America,2024,Brazil,Uruguay,False,11,3.809874753,2,6,4.547336302,17
StatsBomb Open Data,3942416,2024-07-06,Copa America,2024,Colombia,Panama,True,7,2.180404504,5,5,0.609951584,14
StatsBomb Open Data,3942416,2024-07-06,Copa America,2024,Panama,Colombia,False,14,0.609951584,0,2,2.180404504,7
StatsBomb Open Data,3942229,2024-07-06,Copa America,2024,Venezuela,Canada,True,21,5.6230584957000005,4,8,6.052097886,22
StatsBomb Open Data,3942229,2024-07-06,Copa America,2024,Canada,Venezuela,False,22,6.052097886,5,10,5.6230584957000005,21
StatsBomb Open Data,3942227,2024-07-06,UEFA Euro,2024,England,Switzerland,True,18,4.454541235,6,8,4.335406499,16
StatsBomb Open Data,3942227,2024-07-06,UEFA Euro,2024,Switzerland,England,False,16,4.335406499,4,7,4.454541235,18
StatsBomb Open Data,3942382,2024-07-06,UEFA Euro,2024,Netherlands,Türkiye,True,11,0.718929115,1,4,1.182432874,15
StatsBomb Open Data,3942382,2024-07-06,UEFA Euro,2024,Türkiye,Netherlands,False,15,1.182432874,1,4,0.718929115,11
StatsBomb Open Data,3942228,2024-07-05,Copa America,2024,Argentina,Ecuador,True,13,4.776067997,5,6,4.5225276160000005,13
StatsBomb Open Data,3942228,2024-07-05,Copa America,2024,Ecuador,Argentina,False,13,4.5225276160000005,3,6,4.776067997,13
StatsBomb Open Data,3942349,2024-07-05,UEFA Euro,2024,Portugal,France,True,19,4.542798661,3,7,4.984905566,25
StatsBomb Open Data,3942349,2024-07-05,UEFA Euro,2024,France,Portugal,False,25,4.984905566,5,10,4.542798661,19
StatsBomb Open Data,3942226,2024-07-05,UEFA Euro,2024,Spain,Germany,True,19,1.534054224,2,6,1.629074586,23
StatsBomb Open Data,3942226,2024-07-05,UEFA Euro,2024,Germany,Spain,False,23,1.629074586,1,5,1.534054224,19
StatsBomb Open Data,3939991,2024-07-03,Copa America,2024,Brazil,Colombia,True,7,0.30581762,1,3,1.5030030165,13
StatsBomb Open Data,3939991,2024-07-03,Copa America,2024,Colombia,Brazil,False,13,1.5030030165,1,6,0.30581762,7
StatsBomb Open Data,3939992,2024-07-03,Copa America,2024,Costa Rica,Paraguay,True,2,0.27205455,2,2,1.4400627040000002,17
StatsBomb Open Data,3939992,2024-07-03,Copa America,2024,Paraguay,Costa Rica,False,17,1.4400627040000002,1,6,0.27205455,2
StatsBomb Open Data,3939990,2024-07-02,Copa America,2024,USA,Uruguay,True,8,0.470996951,0,2,1.2715211382,12
StatsBomb Open Data,3939990,2024-07-02,Copa America,2024,Uruguay,USA,False,12,1.2715211382,1,5,0.470996951,8
StatsBomb Open Data,3939989,2024-07-02,Copa America,2024,Bolivia,Panama,True,7,0.793431835,1,3,1.3405597112999998,13
StatsBomb Open Data,3939989,2024-07-02,Copa America,2024,Panama,Bolivia,False,13,1.3405597112999998,3,6,0.793431835,7
StatsBomb Open Data,3941022,2024-07-02,UEFA Euro,2024,Austria,Türkiye,True,21,2.4870282190000004,1,5,0.8825083735,6
StatsBomb Open Data,3941022,2024-07-02,UEFA Euro,2024,Türkiye,Austria,False,6,0.8825083735,2,3,2.4870282190000004,21
StatsBomb Open Data,3941021,2024-07-02,UEFA Euro,2024,Romania,Netherlands,True,5,0.267701091,0,1,2.6262365,24
StatsBomb Open Data,3941021,2024-07-02,UEFA Euro,2024,Netherlands,Romania,False,24,2.6262365,3,6,0.267701091,5
StatsBomb Open Data,3939987,2024-07-01,Copa America,2024,Jamaica,Venezuela,True,8,0.667584843,0,1,1.714409986,17
StatsBomb Open Data,3939987,2024-07-01,Copa America,2024,Venezuela,Jamaica,False,17,1.714409986,3,3,0.667584843,8
StatsBomb Open Data,3939988,2024-07-01,Copa America,2024,Mexico,Ecuador,True,20,0.937626587,0,4,0.305849259,9
