team,rating,matches,recent_matches,recent_points_per_match,recent_goals_for,recent_goals_against,recent_result_weight,weighted_recent_points_per_match,weighted_recent_goals_for,weighted_recent_goals_against,weighted_recent_goal_diff,report_matches,xg_for_2026,xg_against_2026,attempts_for_2026,attempts_against_2026,on_target_for_2026,on_target_against_2026,possession_pct_2026,statsbomb_matches,statsbomb_xg_for,statsbomb_xg_against,statsbomb_shots_for,statsbomb_shots_against,statsbomb_on_target_for,xg_for_2026_shrunk,xg_against_2026_shrunk,statsbomb_xg_for_shrunk,statsbomb_xg_against_shrunk
Argentina,2123.758852262343,1075,12,3.0,3.0833333333333335,0.5833333333333334,21.51088706953032,2.658601358246905,2.4399570372553363,0.5538294514305656,1.8861275858247706,3.0,2.1833333333333336,0.6666666666666666,11.666666666666666,6.0,5.0,1.0,53.46666666666667,6.0,2.6735153450333335,1.2478763603,14.666666666666666,10.166666666666666,6.166666666666667,1.6671428571428573,1.0171428571428571,1.877220862157143,1.2662327258428572
Spain,2122.0569545214316,789,12,2.3333333333333335,2.0,0.4166666666666667,22.219172716593853,2.4014643769161075,2.3718387669562007,0.6478323491327042,1.7240064178234964,3.0,2.1933333333333334,0.15333333333333335,18.333333333333332,4.666666666666667,5.333333333333333,1.3333333333333333,62.0,6.0,1.4996004508666667,0.6609747101666666,18.666666666666668,9.833333333333334,6.333333333333333,1.6714285714285715,0.7971428571428572,1.3741144789428572,1.0147034472142857
France,2095.5512193286663,941,12,2.75,2.6666666666666665,0.6666666666666666,22.09307179364183,2.369674997078602,2.3270315107904342,0.8129047614487371,1.5141267493416968,3.0,1.6566666666666665,0.8466666666666667,16.0,6.666666666666667,7.333333333333333,2.3333333333333335,49.86666666666667,6.0,2.018680707016667,1.332187203,16.833333333333332,9.0,4.833333333333333,1.4414285714285713,1.0942857142857143,1.5965774458642858,1.3023659441428572
England,2038.9362007020034,1096,12,2.4166666666666665,1.8333333333333333,0.6666666666666666,22.28195347805673,2.3340592451606508,2.1037210397244537,0.6401133500844974,1.4636076896399561,3.0,2.24,0.6266666666666666,19.333333333333332,8.333333333333334,6.666666666666667,2.3333333333333335,59.70000000000001,7.0,1.4988530852857143,1.319255839571429,11.571428571428571,11.142857142857142,4.0,1.6914285714285715,1.0,1.3821314398,1.2983193918000002
Brazil,1990.7723910695277,1064,12,1.9166666666666667,2.25,1.1666666666666667,20.277199558399666,1.9106891937922774,2.035133891920774,0.9768258447199388,1.0583080472008353,3.0,2.063333333333333,0.7600000000000001,13.333333333333334,11.666666666666666,6.0,3.6666666666666665,48.93333333333334,4.0,2.3711435895,1.69468645685,13.75,11.75,4.5,1.6157142857142857,1.0571428571428572,1.6437145298333333,1.41822881895
Colombia,1984.1287995164778,643,12,2.0,1.4166666666666667,0.6666666666666666,20.83276528386401,1.9699864322552367,1.7205483325208697,0.7738579571403053,0.9466903753805647,3.0,1.5166666666666666,0.8333333333333334,19.666666666666668,9.333333333333334,6.666666666666667,1.6666666666666667,55.699999999999996,6.0,1.5586429078500001,0.6243214844666667,13.166666666666666,9.833333333333334,4.5,1.3814285714285715,1.0885714285714285,1.3994183890785714,0.9989949219142857
Portugal,1975.1658546776598,700,12,1.8333333333333333,2.0833333333333335,0.8333333333333334,21.012832146711403,2.055255733799553,2.1867400490616946,0.8242915748606368,1.3624484742010579,3.0,1.1899999999999997,0.9433333333333334,12.333333333333334,13.0,4.0,3.6666666666666665,55.46666666666667,5.0,2.94186886354,2.0980376975999997,19.0,12.2,6.4,1.2414285714285713,1.1357142857142857,1.9191803321307692,1.5946298836923076
Morocco,1958.1684869801945,623,12,2.0833333333333335,2.1666666666666665,0.75,31.200539001381056,2.3971007963824933,2.0764154607160488,0.47711174894139197,1.599303711774657,3.0,1.4166666666666667,0.7933333333333333,16.0,9.0,5.333333333333333,2.3333333333333335,53.36666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.3385714285714285,1.0714285714285714,1.28,1.28
Netherlands,1955.5492642672273,883,12,2.0833333333333335,2.4166666666666665,0.8333333333333334,19.893834885154327,1.9780151101202859,2.4063794172038158,1.006269743110841,1.4001096740929748,3.0,1.5566666666666666,0.8000000000000002,13.333333333333334,11.666666666666666,6.666666666666667,4.666666666666667,55.9,6.0,1.2197474766666667,0.9786938919666667,13.833333333333334,10.833333333333334,3.8333333333333335,1.3985714285714286,1.0742857142857143,1.25417749,1.150868810842857
Mexico,1949.063126121931,1009,12,2.4166666666666665,2.1666666666666665,0.4166666666666667,29.010950504054417,2.0320315291387914,1.648923109565109,0.7514756368469335,0.8974474727181754,3.0,1.406666666666667,0.47,11.666666666666666,8.333333333333334,4.333333333333333,1.6666666666666667,48.13333333333333,3.0,1.4860098433333337,0.6502164416666666,19.333333333333332,10.666666666666666,6.0,1.3342857142857145,0.9328571428571428,1.336184502727273,1.1082408477272727
